,title,categories,averageRating,publishedDate
144,Cleanup,Fiction,4.0,2006.0
145,Contingency plan,Diesel fuels,3.5,1977.0
146,Evil behind that door,Fiction,5.0,2014.0
147,Gray Mountain [large print],Fiction,3.5,2019.0
148,Ghost boy : the miraculous escape of a misdiagnosed boy trapped inside his own body,Biography & Autobiography,4.0,2013.0
149,The 20/20 diet : turn your weight loss vision into reality : 20 key foods to help you succeed where other diets fail,Health & Fitness,2.5,2015.0
150,Autobiography of a Yogi,Biography & Autobiography,4.0,2017.0
151,We were liars,Young Adult Fiction,4.5,2017.0
152,The Moscow Club,Fiction,2.0,2012.0
153,"Batwoman. Volume 2, To drown the world",Comics & Graphic Novels,5.0,2013.0
154,The beginning of everything,Young Adult Fiction,3.5,2018.0
155,H is for hawk,Biography & Autobiography,3.5,2015.0
156,Out of the Easy,Young Adult Fiction,4.0,2013.0
157,The ghost bride,Fiction,4.0,2013.0
158,Cambridge IELTS 9 : authentic examination papers from Cambridge ESOL,Foreign Language Study,5.0,2013.0
159,They left us everything : a memoir,Biography & Autobiography,4.0,2014.0
160,Orphan train : a novel,Fiction,4.0,2014.0
161,Scary Close ,Religion,4.0,2015.0
162,Knocked ,Religion,2.5,2008.0
163,Rebel heart,Fiction,3.5,2012.0
164,Doppler,Fiction,4.0,2012.0
165,The Baker illustrated Bible handbook,Religion,4.5,2016.0
166,So you've been publicly shamed,Psychology,4.0,2015.0
167,The stranger,Fiction,3.5,2012.0
168,Inside the O'Briens : a novel,Fiction,4.0,2015.0
169,Scary close : dropping the act and finding true intimacy,Religion,3.5,2015.0
170,Someone is watching : a novel,Fiction,4.0,1993.0
171,Walking Dead ,Comics & Graphic Novels,3.0,2019.0
172,El Deafo,Juvenile Fiction,4.0,2014.0
173,Divergent,Young Adult Fiction,4.0,2011.0
174,Cold betrayal,Fiction,4.0,2019.0
175,The liar,Fiction,3.5,2010.0
176,Is everyone hanging out without me? (and other concerns),Humor,3.5,2011.0
177,"Red Hood and the Outlaws. Volume 1, Redemption",Comics & Graphic Novels,3.0,2012.0
178,Bret and Grandma's trip!,Fiction,3.0,2010.0
179,A cultural handbook to the Bible,Religion,5.0,2007.0
180,"Batman Incorporated. Volume 1, Demon star",Comics & Graphic Novels,3.0,2013.0
181,"Batman. Batman, Incorporated",Comics & Graphic Novels,2.5,2013.0
182,My Grandfather Would Have Shot Me ,Biography & Autobiography,4.0,2015.0
183,At the water's edge : a novel,Fiction,3.5,2015.0
184,Grey,Journalism,5.0,2004.0
185,The girl who saved the king of Sweden,Fiction,4.0,2014.0
186,Go Set a Watchman ,Fiction,3.5,2015.0
187,Memory Man ,Fiction,4.0,2015.0
188,Focus : use different ways of seeing the world for success and influence,Psychology,4.0,2013.0
189,English is stupid : students are not : the difference between writing and speaking,Education,5.0,2014.0
190,Perfect phrases for ESL : everyday situations,Foreign Language Study,5.0,2012.0
191,"The ESL/ELL teacher's survival guide : ready-to-use strategies, tools, and activities for teaching English language learners of all levels",Education,3.0,2010.0
192,The long earth,Fiction,3.0,2012.0
193,"The great vegan protein book : fill up the healthy way with more than 100 delicious, protein-based vegan recipes",Cooking,5.0,2015.0
194,Party of one : Stephen Harper and Canada's radical makeover,Canada,4.0,2014.0
195,Red queen,Young Adult Fiction,3.5,2015.0
196,Private Down Under ,Fiction,5.0,2013.0
197,14th Deadly Sin ,Fiction,3.5,2016.0
198,Shadow scale,Young Adult Fiction,4.0,2015.0
199,Memory man,Fiction,4.0,2015.0
200,Teaching ESL in Canada,Education,5.0,2011.0
201,Somewhere in France,Fiction,3.5,2013.0
202,Swann's way,Fiction,4.0,2003.0
203,Cambridge Ielts 10: Student's Book With Answers,Foreign Language Study,,2015.0
204,Private down under,Fiction,5.0,2013.0
205,Finders Keepers ,Juvenile Nonfiction,3.0,2003.0
206,The night stages,Fiction,3.0,2015.0
207,My secret sister,Biography & Autobiography,3.5,2013.0
208,Just one evil act,Fiction,3.5,2013.0
209,Loving someone with anxiety : understanding & helping your partner,Self-Help,4.0,2013.0
210,Mind games,Young Adult Fiction,5.0,1998.0
211,The long war,Fiction,3.0,2013.0
212,The casual vacancy,Fiction,4.0,2012.0
213,What makes a baby : a book for every kind of family and every kind of kid,Juvenile Nonfiction,4.0,2013.0
214,14th deadly sin,Fiction,3.5,2016.0
215,Big Nate. Say good-bye to dork city,Juvenile Fiction,4.0,2015.0
216,Gathering prey,Fiction,4.0,2015.0
217,"Walking dead. Volume 23, Whispers into screams",Comics & Graphic Novels,3.0,2019.0
218,Wildlife and plants,Animals,5.0,2001.0
219,The mountain story,Fiction,4.0,2015.0
220,"Rich dad, poor dad : what the rich teach their kids about money--that the poor and middle class do not!",Business & Economics,3.5,2019.0
221,"Death in Venice, and seven other stories",Fiction,3.0,1956.0
222,"The 4-hour chef : the simple path to cooking like a pro, learning anything, and living the good life",Cooking,4.0,2012.0
223,The 5th Wave,Young Adult Fiction,4.0,2016.0
224,We learn nothing : essays and cartoons,,,
225,Harry Potter and the philosopher's stone,Study Aids,4.5,2015.0
226,Harry Potter and the chamber of secrets,Juvenile Fiction,4.5,2015.0
227,Harperism : how Stephen Harper and his think tank colleagues have transformed Canada,Political Science,3.0,2014.0
228,Thief of glory : a novel,Fiction,4.0,2009.0
229,Solitude creek,Fiction,3.5,2015.0
230,The 7 habits of highly effective people : powerful lessons in personal change,Business & Economics,4.5,2004.0
231,Munsch mania! : a Robert Munsch collection,Juvenile Fiction,,2019.0
232,Vintage beauty parlor : flawless hair & make-up in iconic vintage styles,Crafts & Hobbies,,2013.0
233,Tax-free savings accounts : how TFSAs can make you rich,Business & Economics,,2013.0
234,The bone clocks : a novel,Fiction,3.5,2014.0
235,A god in ruins,Fiction,4.0,2013.0
236,The Winter Palace : a novel of Catherine the Great,,,
237,Spinster : making a life of one's own,Social Science,3.5,2015.0
238,No relation : a novel,Fiction,4.0,2009.0
239,"Love, dishonor, marry, die; cherish, perish : a novel",,,
240,Day trips from Edmonton,,,
241,Long live the Queen,Juvenile Fiction,3.5,2008.0
242,The witch of painted sorrows : a novel,,,
243,Born to walk : the transformative power of a pedestrian act,,,
244,My grandfather would have shot me : a Black woman discovers her family's Nazi past,Biography & Autobiography,4.0,2015.0
245,Thea Stilton and the Lost Letters ,Juvenile Fiction,5.0,2015.0
246,Enchanted Charms ,Juvenile Fiction,5.0,2015.0
247,"North of normal : a memoir of my wilderness childhood, my counterculture family, and how I survived both",Biography & Autobiography,4.0,2014.0
248,The last days of California : a novel,Fiction,3.5,2014.0
249,Truth or Die ,Fiction,4.5,2015.0
250,In the unlikely event,Fiction,3.5,2015.0
251,Finders keepers : a novel,Fiction,4.0,2016.0
252,The gracekeepers,Fiction,3.5,2015.0
253,Geronimo Stilton. Thea Stilton and the lost letters,Juvenile Fiction,5.0,2015.0
254,"Deadpool. [Vol. 1], Dead presidents",Comics & Graphic Novels,2.0,2014.0
255,Love May Fail ,Fiction,3.5,2015.0
256,Winterkill,Fiction,4.0,2004.0
257,Let the elephants run : unlock your creativity and change everything,Self-Help,4.0,2015.0
258,"Red notice : a true story of high finance, murder, and one man's fight for justice",Biography & Autobiography,4.5,2015.0
259,The overlook,Fiction,3.5,2007.0
260,Canada,History,3.0,2018.0
261,Melody Lingers On ,Music,3.5,2016.0
262,Nemesis ,Fiction,4.0,2010.0
263,Bared blade,Fiction,4.0,2012.0
264,The green road,,,
265,Idiopathy,,,
266,The road to character,Social Science,4.0,2015.0
267,Intolerable : a memoir of extremes,Biography & Autobiography,4.0,2012.0
268,Monkey Beach,Fiction,5.0,2011.0
269,The Martian : a novel,Fiction,4.0,2017.0
270,Nature of the Beast ,Fiction,5.0,2008.0
271,Down The Rabbit Hole ,Fiction,4.0,2015.0
272,"Where'd you go, Bernadette : a novel",Fiction,4.0,2019.0
273,Wicked Charms ,Fiction,3.5,2016.0
274,Gut : the inside story of our body's most underrated organ,Health & Fitness,4.0,2015.0
275,The Boundless,Juvenile Fiction,4.0,2014.0
276,No-drama discipline : the whole-brain way to calm the chaos and nurture your child's developing mind,Family & Relationships,3.0,2014.0
277,Heretic : why Islam needs a reformation now,Religion,5.0,2015.0
278,Country [large print] : a novel,Fiction,4.0,2019.0
279,Grey: Fifty Shades of Grey as Told by Christian ,Fiction,4.5,2015.0
280,Geronimo Stilton. The enchanted charms : the seventh adventure in the Kingdom of Fantasy,Juvenile Fiction,5.0,2015.0
281,Truth or die,,,
282,Modern romance,,,
283,Wicked charms,Fiction,3.5,2016.0
284,"Core awareness : enhancing yoga, pilates, exercise, and dance",Health & Fitness,,2012.0
285,Drop dead chocolate [large print],Fiction,3.5,2010.0
286,One more thing : stories and other stories,Fiction,3.5,2014.0
287,Sit like a Buddha : a pocket guide to meditation,Religion,3.0,2014.0
288,Love may fail : a novel,,,
289,Down the rabbit hole : curious adventures and cautionary tales of a former Playboy bunny,Biography & Autobiography,3.5,2015.0
290,Finding Audrey,Juvenile Fiction,4.0,2015.0
291,Geronimo Stilton. The Super Chef Contest,Juvenile Fiction,5.0,2014.0
292,Geronimo Stilton. The treasure of Easter Island,Juvenile Fiction,5.0,2018.0
293,The love affairs of Nathaniel P. : a novel,Fiction,3.0,2013.0
294,Star wars. The clone wars : who are the Jedi?,Fiction,3.5,2013.0
295,Star wars. The clone wars : what is a Sith warrior?,Fiction,4.0,2016.0
296,A desperate fortune,Fiction,4.5,2015.0
297,What does baby love?,Juvenile Fiction,3.0,2013.0
298,Secret brother,Fiction,5.0,2015.0
299,Nemesis,Fiction,4.0,2010.0
300,The melody lingers on : a novel,Fiction,3.5,2016.0
301,China Rich Girlfriend ,Fiction,3.5,2017.0
302,Cambridge English IELTS 10 with answers : Cambridge official preparation material,Foreign Language Study,,2015.0
303,The slight edge,Self-Help,4.0,2013.0
304,Naked Eye ,,,
305,"Great gluten-free vegan eats : cut out the gluten and enjoy an even healthier vegan diet with recipes for fabulous, allergy-free fare",Cooking,5.0,2012.0
306,Fragments,Philosophy,3.0,1987.0
307,The goldfinch,Fiction,3.5,2011.0
308,The Whole30 : the 30-day guide to total health and food freedom,Health & Fitness,4.0,2016.0
309,The sweet girl : a novel,Fiction,3.5,2016.0
310,Luckiest girl alive,,,
311,China rich girlfriend : a novel,Fiction,3.5,2017.0
312,Go set a watchman,Fiction,3.5,2015.0
313,The astronaut wives club : a true story,Biography & Autobiography,3.0,2013.0
314,Thompson Okanagan BC backroad mapbook : outdoor recreation guide,Sports & Recreation,,2012.0
315,Silence once begun,Fiction,3.5,2014.0
316,Broken Promise ,Fiction,4.0,2013.0
317,The English spy,Fiction,4.0,2015.0
318,"Deadpool. [Vol. 2], Soul hunter",Comics & Graphic Novels,4.0,2014.0
319,Kobo eReaders ,Literary Criticism,4.0,2015.0
320,"The conscious parent : transforming ourselves, empowering our children",Family & Relationships,5.0,2006.0
321,The land of stories. Beyond the kingdoms,Juvenile Fiction,4.5,2015.0
322,And then it happened,Juvenile Fiction,4.0,2018.0
323,Broken promise,Fiction,3.5,2015.0
324,Tonight and always,Fiction,3.5,2013.0
325,The Mona Lisa sacrifice,,,
326,Kingdom hearts II. 1,Juvenile Fiction,4.5,2017.0
327,"The conscious cleanse : lose weight, heal your body, and transform your life in 14 days",,,
328,Trail tested : a thru-hiker's guide to ultralight hiking and backpacking,,,
329,Mr. and Mrs. Bunny-- detectives extraordinaire! : by Mrs. Bunny,,,
330,The wealthy barber : everyone's commonsense guide to becoming financially independent,,,
331,Girl in the Spider's Web ,Fiction,3.5,2016.0
332,Make Me ,Computers,4.0,2016.0
333,"The social life of ink : culture, wonder, and our relationship with the written word",History,4.0,2016.0
334,Devoted in Death ,Fiction,3.5,2015.0
335,Alert [large print],Medical,5.0,2007.0
336,Inside out : the essential guide,History,,2015.0
337,All the light we cannot see [large print],Fiction,4.0,2007.0
338,The naked eye,Fiction,4.5,2009.0
339,The nine tailors,Fiction,4.0,1962.0
340,Bedlam,Medical,4.0,2009.0
341,Dumplin' ,Young Adult Fiction,4.0,2015.0
342,Whirligig ,,,
343,The casualties,Fiction,5.0,2015.0
344,The book of speculation,,,
345,Wages of rebellion,Political Science,4.0,2015.0
346,My New Roots ,Cooking,3.5,2017.0
347,X is For... ,Mathematics,3.0,2015.0
348,Summer secrets,,,
349,Speaking in Bones ,Fiction,3.5,2015.0
350,Sick in the head : conversations about life and comedy,Humor,3.5,2015.0
351,The little Paris bookshop : a novel,Fiction,3.5,2015.0
352,The nature of the beast,Fiction,4.0,2015.0
353,Speaking in bones : a novel,Fiction,3.5,2015.0
354,Governing from the bench : the Supreme Court of Canada and the judicial role,Law,,2012.0
355,"Get started in cycling : all you need to know about cycling basics, from choosing the right bike to mountain biking and touring, with 245 photographs",Sports & Recreation,,1984.0
356,No bad kids : toddler discipline without shame,Family & Relationships,4.0,2014.0
357,A game of thrones,Fiction,4.0,2017.0
358,Why Not Me ,Biography & Autobiography,3.5,2015.0
359,A house in the sky : a memoir,Biography & Autobiography,5.0,2010.0
360,Friction,Science,4.0,2011.0
361,Hamsters holding hands,Juvenile Fiction,5.0,2018.0
362,Whirligig,Juvenile Fiction,3.0,1998.0
363,When the moon is low,Fiction,4.0,2015.0
364,Monster musume : everyday life with monster girls. 7,,,
365,Good and cheap : eat well on $4/day,,,
366,Circling the sun : a novel,Fiction,3.5,2015.0
367,Badlands,,,
368,Grey [large print],,,
369,"The nourished kitchen : farm-to-table recipes for the traditional foods lifestyle : featuring bone broths, fermented vegetables, grass-fed meats, wholesome fats, raw dairy, and kombuchas",,,
370,Why not me?,Biography & Autobiography,3.5,2015.0
371,Illegal ,Reference,4.0,2007.0
372,"Amulet. Book one, The stonekeeper",Juvenile Fiction,3.5,2008.0
373,Our souls at night,Fiction,4.0,2015.0
374,The Phoenix of destiny : an epic kingdom of fantasy adventure,Juvenile Fiction,4.0,2015.0
375,Wired ,Social Science,5.0,2005.0
376,Devoted in death,Fiction,3.5,2015.0
377,Murder House ,Fiction,3.5,2015.0
378,The girl in the spider's web,Fiction,3.5,2016.0
379,The illegal : a novel,Fiction,3.5,2016.0
380,A head full of ghosts,Fiction,3.5,2016.0
381,The Santangelos,Fiction,3.0,2014.0
382,Etta and Otto and Russell and James [large print],Fiction,4.0,2015.0
383,The girl on the train [large print],Fiction,3.5,2015.0
384,Undermajordomo Minor,Fiction,3.5,2015.0
385,"Open heart, open mind",Religion,4.0,2017.0
386,The murder house,Fiction,3.5,2012.0
387,Charlotte's web,Juvenile Fiction,4.0,2001.0
388,Dork Diaries #10 ,,,
389,Dumplin',Young Adult Fiction,4.0,2015.0
390,The heart goes last,,,
391,Rising strong,,,
392,This is happy : a memoir,Biography & Autobiography,4.0,2015.0
393,Make me [large print],Humor,3.5,2019.0
394,Did you ever have a family,Fiction,4.0,2015.0
395,Stink and the freaky frog freakout,Juvenile Fiction,3.5,2010.0
396,Big magic : creative living beyond fear,Self-Help,4.0,2015.0
397,Strength of conviction,Philosophy,,2015.0
398,Winter ,Young Adult Fiction,5.0,2015.0
399,Tricky Twenty-Two ,Fiction,3.5,2016.0
400,Library of souls : the third novel of Miss Peregrine's peculiar children,Young Adult Fiction,4.0,2015.0
401,Furiously happy : a funny book about horrible things,Biography & Autobiography,4.0,2015.0
402,The sword of summer,Fantasy,4.0,2015.0
403,Dork diaries. Tales from a not-so-dorky drama queen,Juvenile Fiction,5.0,2015.0
404,A brief history of seven killings,Fiction,3.5,2014.0
405,The rabbit who wants to fall asleep : a new way of getting children to sleep,Juvenile Fiction,3.0,2016.0
406,Old School ,Fiction,3.5,2004.0
407,Pretty girls : a novel,,,
408,The reason you walk,,,
409,Dork diaries. Tales from a not-so-perfect pet sitter,,,
410,Career of evil,,,
411,See me,Fiction,4.0,2017.0
412,Rogue lawyer,Fiction,3.5,2016.0
413,The cloud castle,Juvenile Fiction,4.0,2015.0
414,James and the giant peach,,,
415,Lake House ,Fiction,4.0,2015.0
416,Old school,Fiction,3.5,2004.0
417,Winter,Young Adult Fiction,5.0,2015.0
418,The promise,Juvenile Nonfiction,5.0,2019.0
419,The Martian [large print],Fiction,4.0,2019.0
420,Shopaholic to the rescue : a novel,Fiction,3.5,2015.0
421,Troublemaker ,Biography & Autobiography,4.0,2015.0
422,One gorilla : a counting book,Juvenile Fiction,4.0,2015.0
423,The crossing : a novel,Fiction,4.0,2010.0
424,Playing with fire : a novel,Fiction,4.0,2015.0
425,The death cure,Juvenile Fiction,3.5,2013.0
426,Food Lab: Better Home Cooking Through Science ,,,
427,The great Gatsby,Fiction,3.5,2014.0
428,The lake house : a novel,Fiction,4.0,2013.0
429,Wildflower,,,
430,City on fire,,,
431,How to talk so kids will listen & listen so kids will talk,,,
432,Even dogs in the wild,,,
433,The pharaoh's secret : a novel from the NUMA files,,,
434,Cross Justice ,Fiction,5.0,2015.0
435,A banquet of consequences,Fiction,4.0,2015.0
436,Tricky twenty-two,Fiction,3.5,2016.0
437,Fifteen dogs : an apologue,Fiction,3.5,2015.0
438,The food lab : better home cooking through science,Cooking,4.5,2015.0
439,Unbeatable Squirrel Girl Vol. 2,Comics & Graphic Novels,,2019.0
440,The guilty,Fiction,4.0,2015.0
441,Bazaar of Bad Dreams ,Fiction,4.0,2016.0
442,Cross justice,Fiction,5.0,2015.0
443,The day the crayons came home,Juvenile Fiction,4.0,2015.0
444,Rogue lawyer [large print],Fiction,3.5,2016.0
445,The little prince,Juvenile Fiction,3.0,2018.0
446,Troublemaker : surviving Hollywood and Scientology,Religion,4.0,2013.0
447,Eleanor & Park,Young Adult Fiction,4.0,2013.0
448,Hunger makes me a modern girl : a memoir,Biography & Autobiography,4.0,2015.0
449,"Unbeatable Squirrel Girl. 2, Squirrel you know it's true",Comics & Graphic Novels,4.0,2015.0
450,The magic strings of Frankie Presto,Fiction,4.0,2015.0
451,Modern welding,Welding,,1997.0
452,My grandmother sends her regards and apologises,,,
453,Avenue of mysteries,Fiction,3.5,2015.0
454,The bazaar of bad dreams,Fiction,4.0,2016.0
455,Geronimo Stilton. Thea Stilton and the tropical treasure,Juvenile Fiction,5.0,2015.0
456,History's people : personalities and the past,History,3.5,2015.0
457,Diary of a wimpy kid. The last straw,Juvenile Fiction,4.0,2012.0
458,Fates and furies,Fiction,3.5,2015.0
459,"Go big or go home : taking risks in life, love and tattooing",Art,4.5,2015.0
460,Influence : the psychology of persuasion,Business & Economics,4.0,1993.0
461,The four agreements : a practical guide to personal freedom,Self-Help,3.5,2010.0
462,Rumi and the red handbag : a novel,Secondhand trade,5.0,2008.0
463,"The ketogenic cookbook : nutritious low-carb, high-fat paleo meals to heal your body",Cooking,5.0,2018.0
464,"The future now : Canada's libraries, archives, and public memory : a report of the Royal Society of Canada's Expert Panel on the Status and Future of Canada's Libraries and Archives",Language Arts & Disciplines,,2019.0
465,Slade House,Fiction,4.0,2015.0
466,Bug in a vacuum,,,
467,The road to Little Dribbling : more notes from a small island,,,
468,The golden son : a novel,,,
469,All dressed in white,,,
470,Brotherhood in Death ,,,
471,Lego Ninjago masters of spinjitzu : character encyclopedia,,,
472,The golem and the jinni : a novel,,,
473,Last one out turn off the lights : is this the future of American and Canadian libraries?,,,
474,Stars of fortune,Fiction,3.5,2016.0
475,Spark joy : an illustrated master class on the art of organizing and tidying up,House & Home,3.5,2016.0
476,"The mortal instruments companion : City of bones, shadowhunters, and the sight : the unauthorized guide",,,
